idx,tactile_timestamp,arm_joint_pos,hand_curr_joint_pos,hand_target_joint_pos
0,1708577549.9349349,"[ 1.43022144e-04 -1.44381688e-03 -5.26301300e-04 -9.09380691e-04
 -1.57001741e+00 -2.48217346e-03]","[ 1.80702937e+00  2.30097119e-02 -4.90873866e-02 -1.44194201e-01
  2.91456357e-02  0.00000000e+00  6.13592332e-03  1.53398083e-03
  3.68155390e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57386434e+00 -9.20388475e-03  4.34116572e-01 -3.39009762e-01]","[ 1.79167928  0.02940236 -0.06640229 -0.15756371  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56947926 -0.0105026   0.41233339 -0.35814456]"
1,1708577550.0322237,"[ 1.43022144e-04 -1.44797106e-03 -5.26916883e-04 -9.10240889e-04
 -1.57001816e+00 -2.48218854e-03]","[ 1.80702937e+00  2.30097119e-02 -4.75534052e-02 -1.44194201e-01
  2.91456357e-02  0.00000000e+00  6.13592332e-03  1.53398083e-03
  3.68155390e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57233036e+00 -9.20388475e-03  4.34116572e-01 -3.39009762e-01]","[ 1.79167928  0.02940236 -0.06640229 -0.15756371  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56947926 -0.0105026   0.41233339 -0.35814456]"
2,1708577550.152425,"[ 1.43022144e-04 -1.45108668e-03 -5.25685718e-04 -9.11101086e-04
 -1.57001816e+00 -2.48218854e-03]","[ 1.80702937e+00  2.14757305e-02 -4.90873866e-02 -1.44194201e-01
  2.91456357e-02  0.00000000e+00  6.13592332e-03  1.53398083e-03
  3.68155390e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57233036e+00 -9.20388475e-03  4.34116572e-01 -3.39009762e-01]","[ 1.79167928  0.02940236 -0.06640229 -0.15756371  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56947926 -0.0105026   0.41233339 -0.35814456]"
3,1708577550.2984133,"[ 1.43022144e-04 -1.45420231e-03 -5.25685718e-04 -9.12821482e-04
 -1.57001816e+00 -2.48218854e-03]","[ 1.80702937e+00  2.14757305e-02 -4.75534052e-02 -1.44194201e-01
  2.91456357e-02  0.00000000e+00  6.13592332e-03  1.53398083e-03
  3.68155390e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57233036e+00 -9.20388475e-03  4.34116572e-01 -3.39009762e-01]","[ 1.79167928  0.02940236 -0.06640229 -0.15756371  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56947926 -0.0105026   0.41233339 -0.35814456]"
4,1708577550.4468358,"[ 1.43570441e-04 -1.45679867e-03 -5.25685718e-04 -9.13681680e-04
 -1.57001741e+00 -2.48217346e-03]","[ 1.80702937e+00  2.14757305e-02 -4.75534052e-02 -1.44194201e-01
  2.91456357e-02  0.00000000e+00  6.13592332e-03  1.53398083e-03
  3.68155390e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57233036e+00 -9.20388475e-03  4.34116572e-01 -3.39009762e-01]","[ 1.79167928  0.02940236 -0.06640229 -0.15756371  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56947926 -0.0105026   0.41233339 -0.35814456]"
5,1708577550.57003,"[ 1.43570441e-04 -1.45939503e-03 -5.25070136e-04 -9.14541878e-04
 -1.57001741e+00 -2.48217346e-03]","[ 1.80702937e+00  1.99417509e-02 -4.75534052e-02 -1.44194201e-01
  2.91456357e-02  0.00000000e+00  6.13592332e-03  1.53398083e-03
  3.68155390e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57233036e+00 -9.20388475e-03  4.34116572e-01 -3.39009762e-01]","[ 1.79167928  0.02940236 -0.06640229 -0.15756371  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56947926 -0.0105026   0.41233339 -0.35814456]"
6,1708577550.718917,"[ 1.43022144e-04 -1.46251066e-03 -5.25070136e-04 -9.15402076e-04
 -1.57001741e+00 -2.48217346e-03]","[ 1.80702937e+00  1.99417509e-02 -4.75534052e-02 -1.44194201e-01
  2.91456357e-02  0.00000000e+00  6.13592332e-03  1.53398083e-03
  3.68155390e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57233036e+00 -9.20388475e-03  4.34116572e-01 -3.39009762e-01]","[ 1.79167928  0.02940236 -0.06640229 -0.15756371  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56947926 -0.0105026   0.41233339 -0.35814456]"
7,1708577550.8682363,"[ 1.43022144e-04 -1.46458774e-03 -5.25070136e-04 -9.16262274e-04
 -1.57001741e+00 -2.48217346e-03]","[ 1.80702937e+00  1.99417509e-02 -4.75534052e-02 -1.44194201e-01
  2.91456357e-02  0.00000000e+00  6.13592332e-03  1.53398083e-03
  3.68155390e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57233036e+00 -9.20388475e-03  4.34116572e-01 -3.39009762e-01]","[ 1.79167928  0.02940236 -0.06640229 -0.15756371  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56947926 -0.0105026   0.41233339 -0.35814456]"
8,1708577550.9818647,"[ 1.43570441e-04 -1.46770337e-03 -5.25070136e-04 -9.16262274e-04
 -1.57001741e+00 -2.48217346e-03]","[ 1.80702937e+00  2.14757305e-02 -4.75534052e-02 -1.44194201e-01
  2.91456357e-02  0.00000000e+00  6.13592332e-03  1.53398083e-03
  3.68155390e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57233036e+00 -9.20388475e-03  4.34116572e-01 -3.39009762e-01]","[ 1.79167928  0.02940236 -0.06640229 -0.15756371  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56947926 -0.0105026   0.41233339 -0.35814456]"
9,1708577551.13713,"[ 1.43570441e-04 -1.47081900e-03 -5.25070136e-04 -9.17982670e-04
 -1.57001741e+00 -2.48217346e-03]","[ 1.80702937e+00  2.14757305e-02 -4.75534052e-02 -1.44194201e-01
  2.91456357e-02  0.00000000e+00  6.13592332e-03  1.53398083e-03
  3.68155390e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57233036e+00 -9.20388475e-03  4.34116572e-01 -3.39009762e-01]","[ 1.79167928  0.02940236 -0.06640229 -0.15756371  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56947926 -0.0105026   0.41233339 -0.35814456]"
